ID_member,designation,ra,ra_error,dec,dec_error,solution_id,source_id,random_index,ref_epoch,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_g_mean_mag_error,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_mag_error,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_mag_error,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,ra_epoch2000,ra_epoch2000_error,dec_epoch2000,dec_epoch2000_error,probability_GDR2
244,Gaia DR2 6869397395034081792,293.26836015592,0.2563,-20.04604383479,0.234,1635721458409799680,6869397395034081792,339514207,2015.5,3.5491,0.2802,12.6665,-2.302,0.504,-25.978,0.459,0.3845,0.0324,-0.3,-0.3339,-0.3017,-0.2296,-0.3889,-0.2271,0.0399,0.3466,149,0,149,0,-0.9846,127.31,0.0,0.0,31,0,0.3158,1.6399,0.067,0.115,17,11,0.5162386,0,17,0,147,549.0854285354326,1.7605467065908231,311.883,18.8393,0.0035,16,399.2110356669116,11.940705432193983,33.433,18.8484,0.0325,14,240.63603547109443,8.614859160555461,27.933,18.8085,0.0389,1.165,0,0.0399,0.0091,0.0307,,,0,,,,NOT_AVAILABLE,19.08937108809,-17.89984713669,291.79334702451,1.65007310755,,,,,,,,,,,,,,,,,,293.268370708,7.819,-20.0459319866,7.1118,0.999869951346849
243,Gaia DR2 6772762864267173248,291.61520595327,0.0425,-21.24604585681,0.0358,1635721458409799680,6772762864267173248,670219942,2015.5,3.1431,0.0509,61.7915,0.632,0.118,-26.228,0.085,0.2204,0.1211,-0.2207,-0.2254,-0.2869,-0.2965,-0.1776,0.3748,-0.3182,-0.1958,137,137,137,0,7.9056,305.45,0.0,0.0,31,0,242.761,1.4103,0.0101,0.063,16,9,0.07342665,0,16,0,133,5.1662722186170675E7,24717.58042027392,2090.121,6.4054,5.0E-4,14,1.6776186526785951E7,53663.37828699291,312.619,7.2897,0.0035,13,5.0108930542442E7,105918.39972821028,473.09,5.5121,0.0023,1.295,0,1.7775,0.8842,0.8933,-30.88,0.94,9,4000.0,4.5,0.0,NOT_AVAILABLE,17.29618198029,-16.94805192832,290.08171265185,0.69895720921,100001,4115.74,4048.14,4264.2,0.811,0.4446,1.3677,0.391,0.2189,0.6036,200111,35.23,32.82,36.41,320.825,313.719,327.93,291.615203033,1.8333,-21.2459329321,1.3155,0.99937350281096
242,Gaia DR2 4199945134617822976,289.22476713606,0.0383,-10.76354677277,0.0348,1635721458409799680,4199945134617822976,1579017294,2015.5,3.0582,0.0434,70.4987,-1.095,0.074,-27.926,0.064,0.2441,-0.0947,-0.3385,-0.2309,-0.3509,-0.0744,-0.4347,-0.3331,0.1373,0.1803,160,160,155,5,5.4755,265.25,0.0,0.0,31,0,326.6083,1.6071,0.0098,0.092,18,11,0.04987533,0,22,0,150,819970.0404129034,284.12985514358377,2885.899,10.9039,4.0E-4,18,424619.81733545155,460.90032959452594,921.283,11.2814,0.0012,19,566644.5832892418,477.5543887846906,1186.555,10.3786,9.0E-4,1.209,0,0.9027,0.3775,0.5252,39.24,1.18,3,6000.0,4.5,0.0,NOT_AVAILABLE,26.12473636156,-10.49163874973,289.26823887104,11.39903787742,100001,5523.75,5422.5,6316.66,,,,,,,200111,2.05,1.57,2.13,3.532,3.46,3.604,289.224771935,1.1411,-10.7634265362,0.9881,0.944042735285609
241,Gaia DR2 4199836897135629440,289.83119539888,0.2536,-10.86650316801,0.2199,1635721458409799680,4199836897135629440,1671479074,2015.5,3.0241,0.437,6.9198,-1.435,0.974,-26.816,0.692,0.436,-0.4022,-0.5494,0.2167,-0.518,-0.5486,0.2192,0.775,-0.8128,-0.7903,99,0,99,0,1.9245,122.14,0.446,1.2376431716989578,31,0,0.8043,1.3363,0.0488,-0.147,11,8,1.0443848,0,11,0,99,1490.204783509143,2.888351434781044,515.936,17.7553,0.0021,9,277.511133801106,13.620349331916607,20.375,19.2432,0.0533,10,1904.3291347850172,15.513192538508777,122.755,16.5626,0.0088,1.464,1,2.6806,1.4879,1.1927,,,0,,,,NOT_AVAILABLE,26.29491724296,-11.07255119778,289.85584055628,11.21626421176,,,,,,,,,,,,,,,,,,289.831201688,15.1017,-10.8663877081,10.7314,0.924771386820912
240,Gaia DR2 4198297069771238528,287.26119977187,0.1114,-11.93648781413,0.1088,1635721458409799680,4198297069771238528,1399439764,2015.5,3.4546,0.1338,25.8241,-0.938,0.225,-25.707,0.217,0.2479,0.0323,-0.2376,-0.2836,-0.335,-0.1775,-0.3225,-0.2759,0.2294,0.4169,150,0,149,1,4.875,242.64,0.529,5.2100956456797665,31,0,1.4048,1.2837,0.0307,0.125,17,11,0.24021128,0,17,0,147,2451.363092858896,3.087823173486137,793.881,17.2148,0.0014,16,467.9899462939849,7.671562635031209,61.003,18.6758,0.0178,16,3136.795370819,15.232104130080389,205.933,16.0207,0.0053,1.471,0,2.6551,1.461,1.1941,,,0,,,,NOT_AVAILABLE,24.1996086352,-9.27299100559,287.17176505355,10.47974665435,,,,,,,,,,,,,,,,,,287.261203899,3.4823,-11.936377133,3.3622,0.937687917607263
239,Gaia DR2 4187707153578427008,291.4017355324,0.5917,-11.31712274722,0.5971,1635721458409799680,4187707153578427008,894999381,2015.5,3.205,0.58,5.5262,-3.86,1.18,-26.884,1.24,0.5962,0.2359,-0.5931,-0.514,-0.0903,-0.449,-0.6936,-0.4418,0.0298,0.5953,151,0,150,1,-0.964,128.58,0.0,0.0,31,0,0.0832,1.9749,0.1393,0.127,17,10,1.4593803,0,17,0,150,219.6238411020862,1.376849387090547,159.512,19.8342,0.0068,16,161.53304660979526,8.835370365193247,18.283,19.8307,0.0594,14,114.57024244764834,10.192991973812548,11.24,19.6142,0.0966,1.257,0,0.2165,-0.0034,0.2199,,,0,,,,NOT_AVAILABLE,26.56288507545,-12.65671602212,291.34378855866,10.55044633443,,,,,,,,,,,,,,,,,,291.401752481,18.2975,-11.3170069969,19.2259,0.984993004617959
238,Gaia DR2 4187574250107052288,290.07346583287,0.0858,-12.26232494499,0.082,1635721458409799680,4187574250107052288,1523039932,2015.5,3.0883,0.1132,27.2873,-0.861,0.184,-26.311,0.133,0.0788,-0.0227,-0.0183,-0.297,-0.6207,-0.3215,0.0454,0.1356,-0.1698,-0.1075,134,0,131,3,0.9552,141.06,0.131,0.4750414559434693,31,0,3.5782,1.348,0.0191,-0.025,15,9,0.16977419,0,15,0,132,3837.4625702291314,4.511983312501349,850.505,16.7283,0.0013,13,931.2931877794472,13.124072382021645,70.961,17.9287,0.0153,13,4537.099489442588,28.57285759274019,158.791,15.62,0.0068,1.425,0,2.3087,1.2004,1.1083,,,0,,,,NOT_AVAILABLE,25.11622474141,-11.89133920389,289.89893866418,9.80104130967,100001,4188.99,3469.0,5020.38,0.095,0.0454,0.5255,0.0405,0.017,0.2559,,,,,,,,290.073469626,2.8533,-12.2622116635,2.067,0.990477859580306
237,Gaia DR2 4187541406502065536,290.89212925879,0.0636,-12.16696757001,0.0502,1635721458409799680,4187541406502065536,461213709,2015.5,3.1183,0.0683,45.6767,-2.026,0.124,-26.216,0.099,-0.053,0.0145,-0.3904,-0.0572,-0.2178,0.0348,-0.3713,-0.3544,0.1528,-0.0029,131,0,131,0,4.8933,219.77,0.243,3.9022545066742533,31,0,6.3991,1.3308,0.016,-0.058,15,10,0.12043678,0,15,0,129,9145.753553286857,5.676735926999586,1611.094,15.7853,7.0E-4,15,2336.376940637613,14.126916029320128,165.385,16.93,0.0066,14,10401.22416184072,25.7946016879574,403.233,14.7192,0.0027,1.393,0,2.2108,1.1447,1.0661,,,0,,,,NOT_AVAILABLE,25.55672011735,-12.57249805876,290.71642472041,9.78242456785,100001,3775.55,3532.0,4435.7,,,,,,,200111,0.63,0.45,0.72,0.072,0.069,0.075,290.892138184,1.9236,-12.1668546964,1.5322,0.928334389657745
236,Gaia DR2 4186053561113551872,289.35479965507,0.0318,-12.54181164433,0.0294,1635721458409799680,4186053561113551872,946159543,2015.5,3.1998,0.0346,92.3859,-3.012,0.062,-25.816,0.053,0.2384,0.0436,-0.3302,-0.2613,-0.2755,-0.1482,-0.4125,-0.3206,0.0582,0.2126,191,191,185,6,4.2927,273.47,0.0,0.0,31,1,328.5007,1.5536,0.0083,0.073,22,11,0.04538163,0,23,0,177,1298610.5975432738,324.3850121532198,4003.3,10.4047,3.0E-4,20,622490.625338777,447.5543310639443,1390.872,10.8661,8.0E-4,21,955636.8599302444,1298.452101819031,735.982,9.8112,0.0015,1.215,0,1.0549,0.4614,0.5935,28.83,0.18,3,6000.0,4.5,0.0,NOT_AVAILABLE,24.54964165078,-11.37868736274,289.15487019606,9.61970671604,100001,5107.73,4998.13,5203.47,,,,,,,200111,2.97,2.86,3.1,5.413,5.323,5.502,289.354812942,0.9553,-12.5417004917,0.8295,0.984467581773624
235,Gaia DR2 4185794763562411136,290.59870783518,0.1048,-12.90231245818,0.0839,1635721458409799680,4185794763562411136,1521928099,2015.5,3.0202,0.1266,23.8618,-1.769,0.223,-26.269,0.194,0.0671,-0.1085,-0.1578,0.041,-0.3581,0.1755,0.0501,-0.1146,0.2263,0.2878,94,0,94,0,2.6022,127.58,0.333,2.874938296938694,31,0,3.061,1.3449,0.0223,0.046,11,9,0.2144933,0,11,0,94,4597.509720616268,6.344367854384712,724.66,16.5321,0.0015,8,1204.7876908487278,51.74639365520793,23.283,17.6491,0.0466,7,5305.670144875612,9.298207706851983,570.612,15.4501,0.0019,1.416,0,2.199,1.1171,1.082,,,0,,,,NOT_AVAILABLE,24.75017279473,-12.62918631027,290.32256810525,9.09553111128,100001,3568.0,3494.5,4425.33,0.328,0.0829,0.8243,0.183,0.0659,0.4391,200111,0.55,0.36,0.58,0.045,0.041,0.049,290.59871565,3.4517,-12.9021993575,3.0066,0.904382835806533
