source_id,l,b,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,G,BP,RP,G_error,BP_error,RP_error,radial_velocity,radial_velocity_error,ruwe,astrometric_excess_noise,astrometric_params_solved,bp_rp,g_rp
4707563810327288192,308.1485219670823,-50.028546607645126,4.349247079528855,0.01497035,-66.75350046272843,0.014266296,27.156649726132354,0.017118193,102.89274740515297,0.018702347,-16.833050496388324,0.020608887,-0.3734208,-0.36279178,0.24058923,-0.354741,0.13245541,-0.20665284,0.18998486,0.039353203,-0.14370155,-0.27156958,11.335466,12.668004,10.191122,0.0012192753015320603,0.004718486234059966,0.0025423201482138143,9.417762,0.5317532,0.9501123,0.15424228,31,2.476882,1.1443443
3231945508509506176,197.63805577474466,-23.76223190477203,74.89531686420116,0.011033481,1.7830976094866862,0.006489067,40.98991853704772,0.012788684,39.13015332083248,0.014904051,-94.90036144196907,0.012395147,-0.0047795116,0.14106971,-0.06464794,-0.093976974,0.22303219,-0.16209905,0.112351865,-0.009418416,0.18287697,-0.03514122,9.322068,10.258825,8.3573885,0.001152327819949918,0.00424187567874703,0.002698799247940261,18.539537,0.25431377,0.89986295,0.06473707,31,1.9014368,0.9646797
4764027962957023104,265.8601958592761,-37.373966389261525,75.19666437541598,0.01150079,-57.25674085176277,0.012371301,37.21185747681589,0.01258996,35.38835067056905,0.013713697,74.11315957504551,0.016026745,-0.1760483,-0.03267908,0.31268618,0.041526005,-0.09661277,0.24840245,0.032586448,-0.34388924,0.13182154,-0.28161648,9.37731,10.327255,8.403519,0.0022884508439082766,0.009171815700723748,0.006069330621354108,18.541079,0.2166527,1.0049267,0.087685585,31,1.9237366,0.9737911
4792774797545800832,258.3633942321327,-30.61166864091967,86.82123452009108,0.13713108,-51.066136257823345,0.13109376,50.930690628822894,0.14821085,5.160196860824648,0.20174596,84.0405295978282,0.18706723,-0.027587743,0.00847806,-0.056275014,-0.12560704,0.0077418596,0.23945192,0.06373162,-0.018058937,0.21152611,0.10135513,3.8232422,3.9215844,3.660152,0.002257331371102855,0.006199324592364423,0.00268579550548628,16.84059,0.33607236,3.0716627,1.3861632,95,0.2614324,0.16309023
5266270443442455040,282.67061716012773,-28.236182944922643,94.617421485248,0.011083511,-72.04451593391462,0.01281624,25.565848170862576,0.012625929,-7.708823631348371,0.015925018,74.4117174704906,0.014522444,-0.13481227,-0.1564616,0.011650457,0.28868473,-0.04901179,0.52445793,0.029735703,-0.20240538,0.1923502,-0.13438846,9.272832,9.907029,8.494364,0.0026131349681624617,0.0095949564588349,0.006761547456447801,,,0.84345603,0.018951438,31,1.4126654,0.77846813
5935776714456619008,334.4905576605974,-6.670277249741107,254.33434987265738,0.07857508,-53.725819100710595,0.053676408,19.690114269172554,0.09370189,-12.865306382857458,0.10607906,-85.26419861742961,0.08212297,0.4603029,0.33027223,-0.21469289,-0.16081403,-0.4363248,-0.0039007915,-0.41405404,-0.23492315,-0.074410185,0.049137596,11.349149,12.647818,10.218665,8.577932642948468E-4,0.002242104728886231,9.693752418627101E-4,0.9151818,0.3997561,4.047649,0.8026847,31,2.4291525,1.1304836
5814416056916139520,323.51054132895297,-15.40987239011299,255.53882365063393,0.009992091,-67.57953277783221,0.014199625,24.193002746963113,0.02088967,-20.360594261037175,0.015471632,-99.52672696695579,0.019359045,-0.07035233,0.07240832,-0.048206616,0.08720448,-0.1360416,0.04035715,-0.12225037,-0.143213,-0.16675754,0.112967014,12.744769,14.313058,11.522308,4.7558859874184185E-4,0.00166985175692824,7.975016172180969E-4,6.1718082,0.60914993,1.2859206,0.16862063,31,2.7907495,1.2224607
5963633872326630272,341.6423600257046,-2.2208267482430415,255.66719100655982,0.016066507,-45.366923804811975,0.011018356,31.300394911766826,0.019500514,-20.0993455616298,0.022921687,-137.84531327945794,0.020121928,-0.23440804,-0.02064119,-0.18496014,-0.17488559,0.012984722,-0.16124046,0.15697797,-0.5894481,-0.019793607,0.31660497,10.698547,11.898759,9.607271,0.0012620352144019082,0.005506562667752012,0.003359301278714451,-3.6494372,0.4274897,0.95198166,0.099907294,31,2.2914877,1.0912762
5921821644117633152,338.83162241318735,-12.275357084534962,266.1773640451532,0.020113038,-53.2634598126866,0.017619751,18.8081391150079,0.023029324,-1.2459997263053304,0.023134679,-82.97453001470056,0.019168794,0.10639158,0.35697752,-0.15550081,-0.35513458,-0.3542498,-0.1811183,-0.28030363,-0.55995166,-0.096556306,0.24141166,12.871623,14.426831,11.65328,5.612165581534831E-4,0.002605318543128747,0.001831217292686881,1.903264,6.1965413,1.211214,0.17507918,31,2.773551,1.2183428
5945104588806333824,339.26083402478355,-12.70331756920968,267.14060330287913,0.015688913,-53.10354191049836,0.013617577,13.048541865228753,0.018813588,-1.7132020776968508,0.018519405,-55.955820929292905,0.01463556,0.06109916,0.31811014,-0.11914856,-0.37880036,-0.32138807,-0.37956697,-0.2185428,-0.5743702,-0.13674496,0.3706703,12.873024,14.214628,11.726957,0.0013830456145064972,0.006639112668054494,0.0035360473182626025,2.9057746,2.3062968,1.0666941,0.108884685,31,2.487671,1.1460667
