ID,RAJ2000,DEJ2000,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,rest,b_rest,B_rest,rlen,ResFlag,ModFlag
1,293.268370708,-20.0459319866,6869397395034081792,293.26836015592,0.2563,-20.04604383479,0.234,3.5491,0.2802,-2.302,0.504,-25.978,0.459,,,282.70679542623,261.373548173175,307.76880508709,1793.90301854656,1,1
2,291.615203033,-21.2459329321,6772762864267173248,291.61520595327,0.0425,-21.24604585681,0.0358,3.1431,0.0509,0.632,0.118,-26.228,0.085,-30.88,0.94,315.400963181705,310.381680042659,320.582255031643,1855.76822359806,1,1
3,289.224771935,-10.7634265362,4199945134617822976,289.22476713605,0.0383,-10.76354677277,0.0348,3.0582,0.0434,-1.095,0.074,-27.926,0.064,39.24,1.18,324.030789144668,319.504187246295,328.685138269974,1684.30723540654,1,1
4,289.831201688,-10.8663877081,4199836897135629440,289.83119539888,0.2536,-10.86650316801,0.2199,3.0241,0.437,-1.435,0.974,-26.816,0.692,,,340.556444911621,292.269067490497,407.804618059022,1654.61144408928,1,1
5,287.261203899,-11.936377133,4198297069771238528,287.26119977187,0.1114,-11.93648781413,0.1088,3.4546,0.1338,-0.938,0.225,-25.707,0.217,,,287.838776912053,277.070079527722,299.462453646279,1791.73404737631,1,1
6,291.401752481,-11.3170069969,4187707153578427008,291.4017355324,0.5917,-11.31712274722,0.5971,3.205,0.58,-3.86,1.18,-26.884,1.24,,,329.472173349441,267.692430394466,428.48340663483,1604.04486779343,1,1
7,290.073469626,-12.2622116635,4187574250107052288,290.07346583287,0.0858,-12.26232494499,0.082,3.0883,0.1132,-0.861,0.184,-26.311,0.133,,,321.558959962197,310.167572199246,333.803027808997,1677.79232599742,1,1
8,290.892138184,-12.1668546964,4187541406502065536,290.89212925879,0.0636,-12.16696757001,0.0502,3.1183,0.0683,-2.026,0.124,-26.216,0.099,,,318.000187631531,311.188604379907,325.111071986353,1649.25625013311,1,1
9,289.354812942,-12.5417004917,4186053561113551872,289.35479965507,0.0318,-12.54181164433,0.0294,3.1998,0.0346,-3.012,0.062,-25.816,0.053,28.83,0.18,309.775026927936,306.461343718267,313.159846196102,1709.89481690762,1,1
10,290.59871565,-12.9021993575,4185794763562411136,290.59870783518,0.1048,-12.90231245818,0.0839,3.0202,0.1266,-1.769,0.223,-26.269,0.194,,,328.978813124184,315.707393259149,343.39359990598,1681.8734826489,1,1
11,289.770324086,-13.4599998272,4185667112826157696,289.77032096281,0.0398,-13.46011559008,0.0361,3.2002,0.0461,-0.705,0.082,-26.887,0.063,,,309.791750846226,305.393743629034,314.315951550949,1720.22724990798,1,1
12,289.721937962,-14.4268839014,4185533526471769088,289.72193263126,0.0465,-14.42700360075,0.0423,3.2604,0.053,-1.199,0.091,-27.801,0.077,,,304.151159509691,299.289446080924,309.170514028494,1747.99736636603,1,1
13,288.861193089,-14.204758823,4185236383460552192,288.86118890547,0.0377,-14.20486967347,0.0347,3.0581,0.0401,-0.942,0.072,-25.746,0.061,,,324.032301527836,319.848484827226,328.325015579882,1763.16750129768,1,1
14,290.839545571,-13.8557265351,4184913676789036160,290.83953497227,0.1051,-13.85583791279,0.0932,3.3638,0.1194,-2.39,0.204,-25.868,0.169,,,295.415221169552,285.263664512654,306.302214602945,1708.19209370459,1,1
15,290.460001776,-14.5761066035,4184719200659984640,290.45999503987,0.1867,-14.57622973408,0.1925,3.7016,0.2273,-1.514,0.352,-28.598,0.32,,,269.912305549214,253.895210924127,288.048567756608,1737.87700513618,1,1
16,289.251451558,-15.1816448143,4184343197746728832,289.25144675893,0.0382,-15.18176401483,0.0412,3.3197,0.0567,-1.076,0.081,-27.685,0.073,40.2,0.32,298.78226938858,293.7659101014,303.969755928554,1777.38300860201,1,1
17,290.215080773,-15.1451778929,4184312003414626688,290.21507555391,0.0393,-15.1453013092,0.0345,3.4954,0.0431,-1.17,0.074,-28.664,0.061,42.83,0.27,283.815492717307,280.35874918406,287.35698150837,1758.47116324321,1,1
18,289.976672213,-15.2760352136,4184306093539476352,289.97667446374,0.1013,-15.2761518178,0.0842,3.4745,0.1271,0.504,0.132,-27.082,0.117,-32.32,0.8,286.122569412072,275.990254712424,297.013051675599,1766.09825501939,1,1
19,289.036612559,-15.407780467,4184245586042699008,289.03660735192,0.0583,-15.40789816205,0.0483,3.2577,0.0867,-1.166,0.24,-27.336,0.15,,,304.646674424482,296.742773423228,312.97522735802,1787.32155822453,1,1
