ra,ra_error,dec,dec_error,source_id,parallax,parallax_error,ra_dec_corr,ra_parallax_corr,dec_parallax_corr
266.93019516646,1.3988,-26.78838636305,1.2467,4066823550991787392,-0.3317,1.0909,0.2582,0.1788,-0.2169
266.93450393186,0.815,-26.7878011818,0.7861,4066823551001302784,0.9549,1.001,0.292,-0.0832,-0.4476
266.93132825376,0.2592,-26.78582733355,0.2343,4066823546680077312,0.3775,0.2514,0.5375,0.1102,-0.2034
266.92630293705,1.0094,-26.78941948599,0.9233,4066823546685562368,1.5067,0.8649,0.6132,0.1684,-0.2349
266.92505069436,1.0593,-26.78703471596,0.9614,4066823551001320064,-1.2225,1.2238,0.2219,0.0826,-0.3924
266.92642826708,0.2302,-26.78566192447,0.2216,4066823546685562240,0.0135,0.289,0.1654,-0.1161,-0.5125
266.9311351731,1.3447,-26.78418313491,1.2372,4066823550980076160,-1.5849,1.2561,0.5917,0.0102,-0.2359
266.93046019269,0.417,-26.78452694345,0.3775,4066823546685567104,1.4423,0.3854,0.4865,0.1662,-0.2356
266.9277381482,1.1598,-26.78499137773,1.0168,4066823550980091136,-2.4234,1.0947,0.5216,0.2697,-0.2278
266.92782913107,1.4488,-26.7845712431,1.2911,4066823550980091008,0.6933,1.339,0.4669,0.2134,-0.1625
266.92699282635,1.107,-26.78488280439,1.0241,4066823550980097664,2.3801,1.1766,0.4638,0.0585,-0.3321
266.91595822211,0.3792,-26.79021199401,0.3432,4066823546685549696,0.2152,0.3817,0.4234,0.0798,-0.2748
266.91658387845,0.6608,-26.79050617924,0.6147,4066823550980127616,-0.2314,0.7557,0.256,0.0329,-0.3784
266.9224192651,0.6825,-26.78833769978,0.6124,4066823551001321472,-1.8274,0.6692,0.4708,0.0434,-0.2686
266.92289382254,1.4199,-26.78689605371,1.2269,4066823550980110464,0.8182,1.1006,0.6524,0.318,-0.102
266.91935183236,0.7176,-26.78839127618,0.6679,4066823550980125440,0.1718,0.8043,0.2308,0.1574,-0.3654
266.92008430982,0.7519,-26.78710027513,0.6827,4066823551001328128,0.9791,0.7682,0.4462,0.1219,-0.2822
266.92051915114,0.321,-26.78741547103,0.2852,4066823550980124928,0.6614,0.3036,0.493,0.0799,-0.242
266.92066881739,0.0942,-26.78621621563,0.084,4066823551001330304,0.962,0.0909,0.4262,0.1254,-0.2257
266.92184205322,0.4386,-26.78629449718,0.3969,4066823550980124160,0.3477,0.4363,0.4414,0.0959,-0.2705
266.91491444319,0.9323,-26.78563552305,0.8846,4066823550980178432,2.9041,1.0441,0.2124,0.0215,-0.4163
266.91497501949,0.1659,-26.78677522973,0.1564,4066823546680074368,0.6861,0.1851,0.2914,-2.0E-4,-0.4063
266.91989108962,0.3786,-26.78478892803,0.3414,4066823551001334400,0.4985,0.3772,0.43,0.0721,-0.2755
266.91791638618,1.2611,-26.7848194141,1.104,4066823546685552384,-2.1351,1.215,0.4907,0.2506,-0.2072
